title,address,commune,commune_encoded,district,district_encoded,province,province_encoded,paper,price_by_area,latitude,longitude
"Cần bán căn TT Q.Cầu Giấy, 95m, 2 PN, full đồ","Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Phường Nghĩa Tân,51,Quận Cầu Giấy,15,Hà Nội,0,1,21578947.0,21.0416728,105.7941762
"Full Nội thất căn hộ 94m2, 3PN chung cư The Pride","Đường Lê Văn Lương, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,1,21276596.0,21.0050126,105.8040481
Căn hộ 2N 2VS góc 64m Vinhomes Ocean Park chỉ 2 tỷ,"Đường Quốc Lộ 5, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,145,Huyện Gia Lâm,2,Hà Nội,0,1,31250000.0,21.0164183,105.9448441
"Cần bán căn hộ chung cư mini tại Ngọc Thụy, 100m2","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Phường Ngọc Thụy,60,Quận Long Biên,20,Hà Nội,0,0,18000000.0,21.056117,105.8658584
Chung cư MIPEC Kiến Hưng (Mipec City View) 64m²,"Đường Phúc La, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Phường Vạn Phúc,121,Quận Hà Đông,19,Hà Nội,0,1,23750000.0,20.9590566,105.790772
Cần Bán Gấp Căn Hộ Shophouse Ở Bình Minh Garden,"0981732508, Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Phường Đức Giang,141,Quận Long Biên,20,Hà Nội,0,1,46296296.0,21.0650095,105.8974448
Chính chủ bán 72m2 KĐT Xa La 2 ngủ 2 vệ sinh!,"12 xa la, Đường Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",Phường Phúc La,70,Quận Hà Đông,19,Hà Nội,0,1,20277778.0,20.9622571,105.7923394
Chính chủ cần bán căn hộ  VOV Mễ Trì Plaza. 92m2,"Đường Lương Thế Vinh, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,0,26086957.0,20.9973443,105.7875688
Chung cư Vinhomes Smart City 68m² 2PN +1(2wc),"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,32352941.0,21.0095457,105.7439913
Bán CH 2 ngủ 54.3m2 2PN - full NT - tòa CT12 KVKL,"Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Xã Tả Thanh Oai,172,Huyện Thanh Trì,8,Hà Nội,0,0,20626151.0,20.9546476,105.812567
Căn 2 phòng ngủ 59m2 2 vệ sinh căn góc thoáng,"Đường Đỗ Nhuận, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",Phường Xuân Tảo,124,Quận Bắc Từ Liêm,14,Hà Nội,0,1,40677966.0,21.0658355,105.7891079
Căn góc 3 mặt thoáng chung cư Anlac La Khê Hà Đông,"Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,1,16336634.0,20.9612241,105.7633418
Ccmn Quận Thanh Xuân 47m² 2PN,"15b, 15b Ngõ 26 nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Phường Nhân Chính,61,Quận Thanh Xuân,22,Hà Nội,0,1,18510638.0,21.0028463,105.8095793
Chung cư AQH Riverside 61m² 2 PN,"Tổ 18 đường Gia Thượng, phường Thượng Thanh, quận Long Biên, TP. Hà Nội",Phường Thượng Thanh,93,Quận Long Biên,20,Hà Nội,0,0,491803.0,21.0706911,105.8803024
cần bán nhà gấp,"1008, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Phường Láng Thượng,39,Quận Đống Đa,24,Hà Nội,0,1,12000000.0,21.0157862,105.8054383
"Bán căn Vinsmart city  43m giá gốc, tầng 2 tiện KD","Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,30000000.0,21.00573,105.748427
Penthouse Chung cư Dolphin Plaza 715m² 5PN,"28, 28 Đường Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,49,Quận Nam Từ Liêm,21,Hà Nội,0,1,46154.0,21.0302452,105.7741174
"Căn hộ mini 1 ngủ 35m phố Xã Đàn, ở ngay","Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",Phường Phương Liên,75,Quận Đống Đa,24,Hà Nội,0,1,21714286.0,21.0115303,105.8368631
BÁN CĂN HỘ TẬP THỂ NHÀ MÁY XE LỬA GIA LÂM,"443, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Phường Ngọc Lâm,59,Quận Long Biên,20,Hà Nội,0,1,50000000.0,21.0488143,105.8751219
duy nhất 1 căn studio giá chỉ hơn 1 tỷ.imperia smc,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,41321429.0,21.0095457,105.7439913
CHUNG CƯ vinhomes OCEAN PARK 2N1VS Full đồ 1.6 tỷ.,"Đường Quốc Lộ 5, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,145,Huyện Gia Lâm,2,Hà Nội,0,1,29090909.0,21.0164183,105.9448441
Chính chủ bán căn hộ 2 phòng ngủ 2VS HH Linh Đàm,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,18750000.0,20.9599379,105.8337546
Gia chủ nhờ bán gấp căn hộ 2PN Thăng Long Tower,"mạc thái tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Phường Yên Hoà,126,Quận Cầu Giấy,15,Hà Nội,0,0,29761905.0,21.0165579,105.788647
Bán căn chung cư Thăng Long Tower 3PN giá tụt quần,"Đường Mạc Thái Tổ, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Phường Yên Hoà,126,Quận Cầu Giấy,15,Hà Nội,0,0,26035088.0,21.0165579,105.788647
Chung cư H1 Nguyễn Trãi - Thanh Xuân_Giá Rẻ_ở Ngay,"Đường Nguyễn Trãi, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Phường Thanh Xuân Bắc,89,Quận Thanh Xuân,22,Hà Nội,0,1,13320000.0,20.9897,105.8004293
"cc FLC 36 Phạm Hùng 71m2,2 ngủ full đồ, tầng đẹp,","Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,0,33802817.0,21.023635,105.7741831
Chung cư Vinhomes Smart City 48m² 2PN,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,38812500.0,21.0095457,105.7439913
"CC CĂN GÓC Ở Nguyễn chánh 135m2,3 ngủ, view đẹp","nguyễn chánh, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Phường Trung Hoà,101,Quận Cầu Giấy,15,Hà Nội,0,0,30518519.0,21.0120283,105.7923126
"Chủ nhà bán căn 66m, 2PN Chung cư CT8 Đại Thanh!","Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Xã Tả Thanh Oai,172,Huyện Thanh Trì,8,Hà Nội,0,1,16666667.0,20.9546476,105.812567
"KVKL – CĂN HỘ TẦNG 16 CT12A, VIEW ĐH THĂNG LONG","Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Phường Đại Kim,134,Quận Hoàng Mai,18,Hà Nội,0,1,23750000.0,20.9815104,105.8104086
"Tập thể, cư xá 50m² (Sổ đỏ 26.3m²)1PN","Phòng 209, Nhà C3 Tập thể Vĩnh Hồ, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Phường Ô Chợ Dừa,131,Quận Đống Đa,24,Hà Nội,0,1,53231939.0,21.007201,105.8198005
Cần bán chung cư 3PN The Link Ciputra,"Khu đất I.C32, Khu đất I.C32 KĐT Nam Thăng Long, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Phường Đông Ngạc,133,Quận Bắc Từ Liêm,14,Hà Nội,0,1,39130435.0,21.0919168,105.7850022
Bán nhanh căn 2 ngủ tai HH4C 67m2 -Đủ Đồ- View đẹp,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,19242243.0,20.9599379,105.8337546
Bán nhanh căn 2 ngủ tai HH4C 63m2-Đủ Đồ-Thoáng mát,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,19206349.0,20.9599379,105.8337546
Giá CỰC SỐC chỉ 1.19 tỷ căn 2 ngủ SĐCC tại CT12B,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Phường Đại Kim,134,Quận Hoàng Mai,18,Hà Nội,0,1,21907216.0,20.9815104,105.8104086
Chung cư Tầng 1 Quận Long Biên 84m² 2PN,"Đường Nguyễn Cao Luyện, Phường Việt Hưng, Quận Long Biên, Hà Nội",Phường Việt Hưng,114,Quận Long Biên,20,Hà Nội,0,0,28404762.0,21.0697388,105.9021655
"Căn hộ cực nét ở KĐT Đại Thanh CT8C CH 59,6m2,2PN.","Đường Quốc lộ 70, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Xã Tả Thanh Oai,172,Huyện Thanh Trì,8,Hà Nội,0,0,15939597.0,12.0698749,109.1575507
"Gia chủ gửi CH tầng 7 tòa Ct5 Xala, 68m2, SĐCC","Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Phường Phúc La,70,Quận Hà Đông,19,Hà Nội,0,1,19117647.0,20.9684049,105.786636
"Bán CHCC KVKL giá rẻ 73,6m2 3PN 1,3 tỷ","Đường Nghiêm Xuân Yêm, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Phường Đại Kim,134,Quận Hoàng Mai,18,Hà Nội,0,0,17567568.0,20.9725489,105.8195447
Căn 3n2vs giá sốc tại Vinhomessmart City Tây mỗ,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,31000000.0,21.0095457,105.7439913
"Căn hộ 2PN 61m2 VIệt Hưng, Long Biên, HN","Đường Nguyễn Văn Hưởng, Phường Việt Hưng, Quận Long Biên, Hà Nội",Phường Việt Hưng,114,Quận Long Biên,20,Hà Nội,0,1,20491803.0,21.0588457,105.9162804
Chính chủ căn 68m2 2 ngủ khu 11 tòa mới thanh hà,"đường Lê Trọng Tấn, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Phường Kiến Hưng,33,Quận Hà Đông,19,Hà Nội,0,0,16825165.0,20.977862,105.7465724
